Engine Power (cc),Mileage (km),Depreciation / year,Price,COE Remaining,Car Age
1590,,7560,37800,5,9
1796,135000,12000,60500,5,10
1390,150000,10000,32800,2,8
1598,25000,11180,69999,6,4
1198,54986,9460,62888,7,3
2982,,17670,16800,1,9
1496,35000,9650,86000,9,1
1998,115000,7510,65000,9,11
1339,116268,8000,39999,1,9
1591,54000,9120,69800,7,3
1308,,12490,35800,2,8
1796,,18550,76000,3,7
2979,,28070,225000,6,4
2979,76000,18460,85000,3,7
1388,82500,9450,26800,2,8
1499,12000,11330,20900,1,9
2488,101000,9690,47800,4,6
1598,75000,8480,35666,4,6
2982,,8080,79800,10,0
1997,,12300,56800,4,6
1390,,9950,59800,5,5
2953,155500,7930,42800,6,4
1591,170000,7970,31000,4,6
1596,110000,7090,16500,2,8
2953,,7650,48800,7,3
1995,122000,13640,59800,4,6
1591,38005,9480,60500,6,4
1591,130000,11520,12800,1,9
1242,86000,6370,31888,0,10
1598,98000,9630,52688,4,6
1395,27188,9940,92888,9,1
1197,44000,9720,72800,8,2
1991,30,17180,202888,10,0
2979,,33600,330000,8,2
1496,19,,99800,,
1796,64700,17310,111800,5,5
1591,8531,8820,85800,9,1
2996,121000,19440,133500,5,5
2996,77000,15900,101800,4,6
4196,108000,17360,78000,2,8
2500,,12060,42800,4,11
1591,126000,8850,25000,3,7
1984,138000,16610,83888,4,6
1984,99000,15590,89800,5,5
3436,36000,30590,147800,4,6
2996,108000,16560,96800,4,6
1597,,13880,47800,2,8
2362,120000,17920,59888,3,7
1595,21000,15500,154800,9,1
1586,,15920,17500,1,9
1591,44000,8750,69000,7,3
1799,130000,,14000,0,10
2488,50,8400,78888,10,0
1997,,15930,90500,5,5
1339,,9310,14500,1,9
3605,47700,29560,265800,6,4
1591,100338,10000,47800,5,5
1368,41000,7640,64800,8,2
1197,60000,9090,48800,5,5
1496,,7040,35200,5,10
1986,112074,11840,38888,3,7
2497,,15830,78800,4,6
1796,,14850,81800,5,5
2977,,7990,37800,5,10
1997,150000,8500,24300,1,9
2996,101000,16540,78800,2,8
2773,144258,15040,42800,1,9
2521,90000,13960,79099,4,6
1597,118000,7510,14800,1,9
1499,,7100,35500,5,10
2500,108000,13900,61800,3,7
2979,75000,25330,135000,4,6
1999,5300,17370,189800,10,0
1296,,6080,9000,2,25
2982,,8000,76800,10,0
2500,124000,15320,79800,4,6
2953,,9820,19800,2,8
3999,57000,24660,131800,4,6
1197,46688,9220,69888,8,2
1794,,11140,19800,1,9
1998,165000,9620,22000,1,9
1598,116584,7740,35888,5,10
1598,70,11440,61800,5,5
2694,69000,15210,66800,4,6
1799,,7760,38800,5,10
1798,66000,12870,59999,4,6
1799,82499,8140,29000,4,11
1969,36000,15580,155000,9,1
2179,71000,14020,54800,3,7
2480,55555,8600,81555,10,20
1591,50555,7720,22633,3,7
2982,48094,8820,66800,8,2
1995,133764,15930,92800,5,5
4163,44500,129240,148888,1,9
3982,65,47520,585988,10,0
1987,118898,12300,35800,2,8
2997,,,51800,1,9
1999,,12010,56800,3,7
1598,86000,12510,66800,4,6
3798,1900,86160,614900,6,4
2354,47517,12830,102800,7,3
1399,117420,7530,18900,2,8
1995,57863,12880,64800,4,6
2497,112000,16820,62800,3,7
1395,100,12380,138000,10,0
1598,58551,11300,73800,6,4
1598,,9260,52800,5,5
1779,25000,,83000,4,39
1595,37996,15650,145800,8,2
1596,64000,11010,79800,6,4
2996,18000,31730,316800,8,2
4799,51679,22220,101800,3,7
2362,158888,15450,59600,3,7
2953,,10850,20800,2,8
2362,,8490,79800,10,10
1591,,8520,16800,2,8
1598,,8970,37800,4,6
1598,71875,17880,113200,6,4
2979,69000,24100,136800,4,6
2977,,7160,35800,5,10
2362,103830,10770,39800,3,7
1991,11000,20010,218800,10,0
2982,,15630,21800,2,8
1461,,7790,77802,10,0
1997,115000,10830,29800,2,8
1461,,8960,33999,4,6
1798,70000,13850,67888,4,6
1984,67399,14890,107800,6,4
5000,85000,16750,103800,4,6
1794,139000,8580,42900,5,10
1999,125000,11240,35500,2,8
1991,30,,208888,,
2982,,8230,60800,8,2
2184,,9830,22800,3,12
1588,140000,12030,17800,2,26
1994,200000,7800,19500,2,8
1999,123000,18240,103000,5,5
11967,,31770,245000,8,2
1797,,12280,121321,10,0
3824,98000,16970,169800,10,10
2362,,18080,61388,3,7
1799,81000,12110,69800,5,5
1999,66000,14650,97888,6,4
2497,118000,16650,64800,3,7
1997,16091,19310,113800,5,5
1390,125000,9770,52800,4,6
1598,88000,11580,65800,5,5
1390,98000,11360,64800,5,5
2497,105000,14840,60321,3,7
1390,,9830,21321,1,9
2982,,11970,55800,5,5
2184,155000,7440,26800,4,16
1598,110532,10260,47800,4,6
1390,138500,9680,34888,3,7
1339,122000,9230,23000,2,8
2378,69600,14070,56800,4,6
1910,,5680,26800,5,10
1598,100000,13020,36800,2,8
1999,75000,12010,71800,5,5
1995,108000,11320,56800,4,6
1598,98339,8750,38800,4,6
2998,,10280,96800,10,0
1796,95000,15840,103800,5,5
1598,,6570,24800,3,7
1598,81000,13740,50800,3,7
2496,65188,12470,45800,3,7
2773,,14600,80800,4,6
6262,19000,99460,990000,6,4
2953,,9520,26800,3,7
1598,,8600,76888,9,1
2497,18375,8520,58800,7,3
1598,,6840,16999,2,8
998,,20200,29888,2,47
1497,92156,10400,59888,5,5
2494,5000,17520,189000,10,0
1591,105000,7740,11888,1,9
1390,,9930,64800,6,4
2493,78,15370,166988,10,0
1999,160000,9410,20800,1,9
1796,71400,17650,70000,3,7
1991,44011,18160,163800,8,2
4163,54556,20370,111888,4,6
1461,,10100,35490,4,6
1997,65000,16690,125800,6,4
1598,,10190,24800,2,8
1799,,11980,34500,2,8
1598,146222,8240,11000,1,9
1496,,6760,33800,5,10
1496,7700,7600,64800,9,1
658,,5760,28800,5,10
1591,110000,7860,18888,2,8
1598,42098,11970,43333,3,7
1498,179256,8240,26900,3,7
1796,,13680,65800,3,7
1998,,11190,96800,9,11
1498,,,13500,1,9
1995,,12050,37800,2,8
1595,22000,15160,138888,9,1
1597,91200,14730,81800,5,5
2996,72000,20940,151800,6,4
2996,9591,29890,329800,9,1
1598,,8020,21999,2,8
1308,,12980,118888,9,30
1390,88331,9910,51800,4,6
1598,,10040,46800,4,6
1997,40000,12530,68800,5,5
2521,,,25800,1,9
1339,123000,12020,16800,1,9
1598,77000,10320,68500,6,4
3696,53000,14560,85800,4,6
4163,85000,21750,95000,3,7
1598,106000,13000,32800,2,8
4691,86000,37830,145000,3,7
1998,82326,8970,44888,5,9
1390,101000,10370,59800,5,5
1999,77000,17130,109800,5,5
1498,120000,6560,32800,0,10
3933,,8060,41800,6,4
1591,93100,8770,27800,3,7
3993,7400,57620,650000,9,1
1591,,8170,21800,2,8
1498,,7400,16999,1,9
1994,,7430,19800,2,8
1497,140000,8560,18000,1,9
2979,4700,38960,462800,10,0
2996,52000,19000,147800,6,4
1368,76000,11030,33500,2,8
1798,19000,14030,123500,8,2
2982,,8530,83800,10,0
1498,104655,8890,41800,4,6
2953,,7760,38800,5,9
1496,42000,8890,80000,9,1
1799,120000,8430,40800,5,10
1598,41000,13590,92800,6,4
1499,130000,9260,19800,1,9
1496,106880,12880,17800,1,9
1248,,7160,46800,7,3
1984,88000,15780,93800,5,5
2979,113000,16970,70800,2,8
1198,13000,8340,71800,9,1
1984,145000,11410,45900,3,7
7545,,22830,89800,4,11
1591,124000,9340,20500,2,8
2494,60081,15360,129800,7,3
2499,150000,8950,19800,1,9
2457,,16750,29800,1,9
1984,140000,11540,40000,2,8
2977,,10440,43800,5,5
1796,,11800,33000,1,9
2488,,7830,77800,10,0
6498,12000,112860,655000,4,6
1499,115000,9670,25800,2,8
2497,40000,19000,40800,1,9
2359,92000,13100,91800,6,4
2979,54400,16540,158000,7,3
2457,140000,8250,80000,10,10
1998,118951,9170,23300,2,8
3993,4170,57740,508000,6,4
1598,,11370,54800,5,5
1197,20340,9870,93900,9,0
2354,161000,,16900,0,1
2499,111188,8350,33000,4,9
4806,57777,37110,258800,6,6
2359,130000,10470,39800,3,0
2982,,8350,78800,10,7
2488,12000,11010,104151,8,3
1595,,14600,93900,6,11
1591,128000,8550,15800,2,6
1995,83000,13750,66800,4,6
2500,40000,17550,160800,8,9
3605,109000,30050,159800,4,8
1591,168865,9140,20300,2,9
1997,130000,17020,96800,4,9
1399,,5300,8500,1,3
1598,8000,15240,143900,9,8
1999,58000,18860,186800,8,2
2497,,14460,39800,1,7
1595,96000,9350,34800,3,5
1598,70000,12180,88099,7,3
1997,88587,18870,105800,5,9
1390,54000,8840,69666,8,6
1598,115670,9470,46800,4,8
1796,128000,14280,54988,2,8
1497,81000,10200,25800,2,0
1560,,4540,21500,5,7
3498,72000,15430,76800,3,8
2998,753,35520,395000,10,9
1496,,9880,36800,3,10
1799,,12910,31800,2,1
1998,177000,,49000,1,9
1809,,27640,40888,2,21
2979,,15180,75500,2,11
3955,2000,18460,188000,9,7
2977,,6760,33800,5,2
1984,108000,13090,42800,2,8
2500,122000,18000,63888,3,8
1595,25000,16170,139800,8,7
2996,118000,15630,75800,2,11
1999,95090,14190,92800,5,7
1598,90943,8360,33800,3,9
1584,,7480,23988,4,3
1390,119897,10820,45600,3,4
2982,,9280,49838,6,7
1591,117425,5820,12888,1,8
2672,94361,17760,115900,6,9
1596,90000,8810,34800,3,9
1997,98000,15590,93800,5,7
1799,113581,11190,36800,2,7
658,115250,6490,11888,1,3
1339,116911,9390,36800,3,8
1591,94000,8680,30500,3,8
1390,98569,10310,43800,3,9
1598,34000,11010,81900,7,2
1591,129315,7760,17888,2,5
1390,52000,10680,26800,2,3
1598,151400,7650,76500,10,10
2982,,8900,69800,8,8
1584,145000,,8900,1,10
1598,,10560,62800,5,6
1984,17000,18440,148000,7,8
1498,,8810,24988,2,8
6208,46000,35530,210000,5,8
1984,17000,18240,162800,8,
1998,,10900,32800,2,4
3456,72000,17140,145900,6,9
1796,189000,12570,40000,1,7
2362,19,,160800,,8
2664,,6320,27800,5,6
659,87800,8670,15000,1,9
1591,81000,10300,49800,4,8
1799,,8360,41800,5,9
3696,,16720,67888,3,1
2521,,15460,103888,5,8
1496,25000,9190,79800,9,2
2773,55049,17910,115800,5,0
2497,120000,14430,46800,2,11
2982,,8190,78800,10,9
989,,6670,23800,4,9
1781,,8350,37800,5,4
1368,,8860,19800,2,8
1591,143052,6260,12800,1,20
2354,110000,11150,33800,2,8
1998,170000,6360,31800,5,7
2967,13500,28470,218000,6,4
1395,61223,11830,76800,6,10
1598,49500,10920,68800,6,10
2497,169000,,36800,0,2
1991,200000,11510,18000,2,7
1598,128941,7690,34888,5,9
1984,106000,11690,29800,2,7
1242,113000,5360,11900,1,9
1339,128383,8550,18500,1,8
1995,,12560,43500,2,1
4691,2900,44820,500000,9,5
1997,90000,8260,25800,2,9
2672,47659,17030,156800,8,7
2982,17000,8580,59800,7,10
1591,119000,10120,48800,5,7
2982,,8070,38800,5,9
1997,111907,10710,39500,3,6
1796,132000,8580,85800,10,8
1497,105000,9850,19800,1,9
1360,,8970,20800,2,9
1390,60000,9560,25800,2,2
1597,86000,15610,73000,4,8
1997,144000,11200,24800,1,14
1584,97707,7510,34800,0,8
1390,45732,11730,102800,8,10
3999,24500,30600,168000,4,8
1497,130000,10330,29000,2,6
2979,132000,17630,75800,3,7
2967,,16800,106800,5,8
1796,100000,16000,78800,4,2
1987,93000,13760,45000,3,8
1399,106000,7990,29000,3,5
2488,,11680,95800,8,9
2362,,12220,29800,2,7
2360,,11070,108888,9,10
2494,108000,12660,69800,5,9
1597,90254,,8900,1,8
1390,103000,10260,40777,3,8
1495,96284,11150,21800,2,1
1998,130000,12940,34500,2,9
1997,9000,19720,208800,9,3
2488,143000,,18800,1,10
1598,,8830,19800,1,8
1598,55000,14830,125800,8,11
1595,62000,13860,111800,7,8
2982,178000,8000,37888,5,8
3456,234000,14380,37800,2,8
1595,,5800,58000,10,9
1799,161307,6320,53800,9,1
2393,103000,9180,24800,2,
2995,19,,486800,,3
1995,,16170,18800,1,3
2982,181000,7470,31800,5,4
1596,,,,5,7
1991,90000,17710,145800,7,0
1984,,12350,44000,3,8
1991,,22870,183800,7,8
1598,70100,11410,46800,3,10
1975,116088,9310,20822,2,7
4608,169295,16250,69800,2,7
1599,,7630,33800,5,0
2521,92500,10320,49800,3,9
3436,22500,49410,179800,3,9
1590,69600,8280,17800,2,1
5998,74000,,155000,1,8
3999,107000,24440,124800,4,7
2996,66000,15990,81800,4,11
1591,,6970,19321,2,7
2494,43000,15440,139800,8,8
1595,7415,13170,127800,9,9
1497,106467,11440,19800,2,7
1999,169000,8620,15999,1,9
2497,129000,15140,82800,4,11
1998,,8720,21800,2,8
1799,159000,8830,28800,4,1
4691,57000,41320,125888,2,7
4462,,13070,35800,3,8
1598,145000,10090,15988,1,8
2979,12500,24500,238888,9,6
1995,,12460,52800,3,9
5998,32000,57010,398800,6,7
1598,,8100,30800,3,19
2982,,8210,79800,10,8
989,,5460,15800,3,7
2496,49957,10950,37800,2,8
2977,,7430,35800,5,10
1598,125000,9760,28800,2,0
1995,,7480,18800,3,2
1994,183000,11050,27800,2,0
2982,,8650,82800,10,8
1984,21000,11870,115000,8,5
1390,101000,9320,51800,5,5
1598,39537,11780,65000,5,8
1498,,9700,12800,1,8
1490,85000,8130,10900,2,7
1598,116768,8200,21300,2,9
1595,147000,10380,25800,2,9
2979,23000,21200,224800,8,7
1798,110430,12070,42800,2,9
1598,79869,13470,89800,6,9
1591,171000,8500,19800,2,9
1998,,9690,37800,4,5
5000,78000,22850,148000,4,11
1595,86199,14810,102800,6,8
4163,145000,15820,64200,2,17
2362,108021,10800,51888,5,8
1242,85926,8430,15200,2,7
2773,19000,16840,142800,6,7
1497,114000,10060,24388,2,10
1997,,15570,92000,5,3
1799,128000,9220,42800,5,7
2996,73000,19820,173800,6,6
1591,67000,8000,30500,3,9
2979,46000,9870,98800,10,9
1997,,9200,20500,1,10
2687,,10880,108888,10,8
3993,50000,25130,173800,5,8
2982,18,8600,83800,10,9
1984,,7810,27700,2,1
12882,,13750,68800,5,2
1998,141000,10050,46800,4,10
1998,,12380,44800,3,5
2982,18,8470,83800,10,1
1998,250000,17000,20000,1,0
2500,32000,17840,116888,5,8
1339,112500,9920,15500,1,6
1595,35600,12640,119800,9,0
2982,18,8470,83800,10,8
1591,118000,7940,16500,2,6
1997,95000,11710,52800,4,19
1597,,7600,73900,10,9
1995,,10610,34321,2,10
2953,,9030,29900,4,9
1997,,10890,109000,10,0
1497,125357,7670,35888,5,10
1242,73000,6780,33900,1,2
2457,116000,9110,18388,1,7
2457,110256,8280,82800,10,5
1975,144123,7980,15800,1,9
1390,,8410,28800,3,2
1591,,10170,24800,2,9
2354,,14240,88800,5,6
1308,170000,7790,20000,1,9
3999,112500,21230,113800,4,6
1496,,7760,38800,5,9
1598,,7880,33333,4,2
1390,95497,9110,42800,4,9
2354,110000,11260,36800,2,7
1799,138022,10710,20388,1,1
1598,84000,12300,66800,4,4
1590,6213,8010,79800,9,6
1997,80000,14710,95321,6,4
2687,,11790,118000,10,7
1598,162000,11420,39800,3,8
2521,131000,14930,78500,4,9
4691,4500,40830,348000,6,8
1797,,11760,28800,2,8
2979,,24890,153888,5,10
2996,112000,18600,36000,1,2
1994,124000,,14800,1,8
1461,27000,8840,80800,8,9
2497,170612,22510,105000,4,9
2261,119000,9250,34800,3,6
1984,93500,12390,49800,3,8
1975,151000,8940,17988,2,5
1591,110370,9880,38800,4,5
1999,120000,10440,32800,2,7
1596,130000,10560,62888,5,10
1595,83000,10970,35000,3,9
2179,45584,14630,133800,8,9
2261,19463,20360,208000,9,1
4608,113000,10970,109800,10,9
1390,5078,10090,100988,9,5
1339,222996,,14988,1,2
1984,81000,14610,91888,5,2
1798,88400,11950,36500,2,5
1998,30500,12740,115000,8,9
3855,1900,68440,738000,8,8
2494,34000,12000,112800,8,7
2497,,15710,86800,4,0
1591,,8700,30800,3,9
1799,109300,10870,25800,2,8
1390,89326,11790,65800,5,10
1598,113680,10290,26800,2,8
3498,138000,9600,42333,2,9
1586,126000,13610,21800,1,6
2979,24800,18230,144800,6,9
1595,,13720,129800,9,7
1999,110000,15860,109800,6,7
